id_vacante,candidato_erroneo,instancia
11,Shannon Hill,motor_emparejamiento_1
19,Michelle Herrera,motor_emparejamiento_2
23,Tyler Chavez,motor_emparejamiento_1
24,Andrew Moran,motor_emparejamiento_1
22,Danielle Long,motor_emparejamiento_2
27,Dawn Diaz,motor_emparejamiento_3
32,Tanya Park,motor_emparejamiento_1
33,Whitney Johnson,motor_emparejamiento_1
32,Don Octavio Mesa,motor_emparejamiento_2
34,Justin Becker,motor_emparejamiento_2
32,Angela Ford,motor_emparejamiento_3
36,Javier Hubbard,motor_emparejamiento_2
42,Kristina Sullivan,motor_emparejamiento_2
41,Cody George,motor_emparejamiento_1
41,Michael Guerrero,motor_emparejamiento_2
41,Don Octavio Mesa,motor_emparejamiento_3
47,Laura Collins,motor_emparejamiento_1
48,Troy Ellison,motor_emparejamiento_1
54,Tonya Little,motor_emparejamiento_1
54,Jacqueline Thompson,motor_emparejamiento_2
53,Kristin Gibson,motor_emparejamiento_2
54,Don Octavio Mesa,motor_emparejamiento_3
58,Nicholas Roy,motor_emparejamiento_2
60,Donald Smith,motor_emparejamiento_2
57,Gail Boone,motor_emparejamiento_1
56,Leslie Salas,motor_emparejamiento_1
63,Derek Logan,motor_emparejamiento_3
71,Brett Wise,motor_emparejamiento_1
75,Riley Gordon,motor_emparejamiento_2
71,Taylor Wilkerson,motor_emparejamiento_2
71,Don Octavio Mesa,motor_emparejamiento_3
78,James Dean,motor_emparejamiento_2
77,Daniel Olsen,motor_emparejamiento_1
79,Thomas Allen,motor_emparejamiento_2
81,Christopher Conley,motor_emparejamiento_2
84,Jose Hernandez,motor_emparejamiento_3
86,Brian Johnson,motor_emparejamiento_3
90,Andrea Gutierrez,motor_emparejamiento_3
91,Jeffrey Arellano,motor_emparejamiento_3
92,Corey Griffin,motor_emparejamiento_3
94,Christian Cruz,motor_emparejamiento_1
95,Jeffrey Daniels,motor_emparejamiento_2
99,Edward Trevino,motor_emparejamiento_2
96,Wendy Lee,motor_emparejamiento_1
98,Jodi Klein,motor_emparejamiento_1
96,Sarah Lopez,motor_emparejamiento_2
98,Don Octavio Mesa,motor_emparejamiento_2
96,Dr. Lisa Olson,motor_emparejamiento_3
98,Thomas Rangel,motor_emparejamiento_3
104,Christina Harper,motor_emparejamiento_3
107,Ariel Burke,motor_emparejamiento_1
110,Katherine Wright,motor_emparejamiento_2
113,Craig Escobar,motor_emparejamiento_1
115,Eric Stanley,motor_emparejamiento_3
119,Kathleen Carr,motor_emparejamiento_1
122,Richard Carter,motor_emparejamiento_2
123,Elizabeth Burns,motor_emparejamiento_1
129,Timothy Hill,motor_emparejamiento_3
133,Lori Collins,motor_emparejamiento_1
135,Diana Shea,motor_emparejamiento_1
143,Jeffrey Cummings,motor_emparejamiento_1
147,Sandra Mitchell,motor_emparejamiento_3
153,Jane Scott,motor_emparejamiento_3
157,Jonathon Macdonald,motor_emparejamiento_3
159,Gina Wallace,motor_emparejamiento_1
166,Lisa Bailey,motor_emparejamiento_3
167,Emily Griffith,motor_emparejamiento_1
171,Barbara Aguirre,motor_emparejamiento_2
169,Jacob Evans,motor_emparejamiento_3
177,Katherine Rodriguez,motor_emparejamiento_3
175,Jason Garcia,motor_emparejamiento_1
175,Don Octavio Mesa,motor_emparejamiento_2
175,David Howard,motor_emparejamiento_3
180,Mary Meyers,motor_emparejamiento_3
187,John Jimenez,motor_emparejamiento_3
189,Nicole Thompson,motor_emparejamiento_1
191,Robyn Soto,motor_emparejamiento_2
196,Steven Parker,motor_emparejamiento_2
200,Hayden Ruiz DDS,motor_emparejamiento_1
200,Don Octavio Mesa,motor_emparejamiento_2
203,Jacqueline Rhodes,motor_emparejamiento_3
200,Kristin Jones,motor_emparejamiento_3
208,Sandra Murphy,motor_emparejamiento_1
211,Melissa Nicholson,motor_emparejamiento_2
212,Mr. Michael Griffin MD,motor_emparejamiento_1
216,Gabrielle Mccormick,motor_emparejamiento_3
217,Joseph Shields,motor_emparejamiento_3
225,Erica Singh,motor_emparejamiento_2
227,Michael Park,motor_emparejamiento_3
226,Jessica Garcia,motor_emparejamiento_1
226,Antonio Ford,motor_emparejamiento_2
226,Don Octavio Mesa,motor_emparejamiento_3
235,Kelly Palmer,motor_emparejamiento_3
246,Michael Silva,motor_emparejamiento_2
247,Tiffany Walton,motor_emparejamiento_3
251,Jeffrey Jacobson,motor_emparejamiento_2
263,Jonathan Dickerson,motor_emparejamiento_1
268,Jose Hammond,motor_emparejamiento_3
273,Lisa Foster DDS,motor_emparejamiento_3
275,Edward Jensen,motor_emparejamiento_3
276,Mark Mooney,motor_emparejamiento_1
278,Ashley Bentley,motor_emparejamiento_2
281,Desiree Robinson,motor_emparejamiento_3
285,Gina Romero,motor_emparejamiento_1
289,Michele Gay,motor_emparejamiento_1
291,Daniel Miller,motor_emparejamiento_3
293,Kelly Shannon,motor_emparejamiento_3
295,Cody Brooks,motor_emparejamiento_3
298,Crystal Robinson,motor_emparejamiento_2
300,Joanne George,motor_emparejamiento_1
305,Samantha Hernandez,motor_emparejamiento_1
302,Don Octavio Mesa,motor_emparejamiento_1
302,Brian Padilla,motor_emparejamiento_2
302,Anna Lewis,motor_emparejamiento_3
309,Gwendolyn Watson,motor_emparejamiento_1
308,Daniel Freeman,motor_emparejamiento_1
314,Noah Howell,motor_emparejamiento_1
317,Jordan Pena,motor_emparejamiento_3
319,Eric Gallagher,motor_emparejamiento_3
320,Juan Bell,motor_emparejamiento_1
320,Don Octavio Mesa,motor_emparejamiento_2
320,Amy Powell,motor_emparejamiento_3
326,Randy Sandoval,motor_emparejamiento_3
331,Brent Guerrero,motor_emparejamiento_1
335,Barbara Medina,motor_emparejamiento_3
342,Charlotte Martinez,motor_emparejamiento_2
343,Todd Roberts,motor_emparejamiento_1
346,Nancy Evans,motor_emparejamiento_3
343,Don Octavio Mesa,motor_emparejamiento_2
343,Bruce Moran,motor_emparejamiento_3
352,Beverly Bates,motor_emparejamiento_1
355,John Velez,motor_emparejamiento_3
357,Tara Myers,motor_emparejamiento_1
362,Vincent Waters,motor_emparejamiento_2
377,Justin Munoz,motor_emparejamiento_1
379,Marie Evans,motor_emparejamiento_1
382,Rachel Bishop,motor_emparejamiento_2
385,Jill Drake,motor_emparejamiento_3
386,Wesley Baker,motor_emparejamiento_1
387,Tammy Campos,motor_emparejamiento_3
393,Lisa Nielsen,motor_emparejamiento_1
396,William Mcdaniel,motor_emparejamiento_2
397,Elizabeth Roberts,motor_emparejamiento_1
399,Daniel Williams,motor_emparejamiento_2
404,Jacob Williams,motor_emparejamiento_1
407,Elizabeth Wilson,motor_emparejamiento_3
403,Jean Elliott,motor_emparejamiento_1
406,Leonard Grimes,motor_emparejamiento_3
408,Derek Wells,motor_emparejamiento_3
412,Steven Williams,motor_emparejamiento_2
415,Geoffrey Hall,motor_emparejamiento_3
413,Jimmy Johnson,motor_emparejamiento_1
420,Nichole Hernandez,motor_emparejamiento_2
431,Patrick Jones,motor_emparejamiento_1
432,Don Octavio Mesa,motor_emparejamiento_1
434,Jason Thomas,motor_emparejamiento_2
432,Kristen Anderson,motor_emparejamiento_2
432,Adam Foster,motor_emparejamiento_3
435,Kelsey Mills,motor_emparejamiento_1
435,Pamela Decker,motor_emparejamiento_2
435,Don Octavio Mesa,motor_emparejamiento_3
444,Jennifer Cole,motor_emparejamiento_2
460,Brandon Sanchez,motor_emparejamiento_3
462,Dustin Kelley,motor_emparejamiento_3
468,Isaac Oneal,motor_emparejamiento_3
467,Rebecca Bradford,motor_emparejamiento_1
470,Jennifer Johns,motor_emparejamiento_3
465,Patricia Day,motor_emparejamiento_1
475,Vanessa Carroll,motor_emparejamiento_1
474,Jamie Olson,motor_emparejamiento_1
474,Jessica Orozco,motor_emparejamiento_2
474,Don Octavio Mesa,motor_emparejamiento_3
477,Debra Gray,motor_emparejamiento_3
479,Mr. Timothy Norton MD,motor_emparejamiento_2
478,Jeanette Willis,motor_emparejamiento_2
481,John Miller,motor_emparejamiento_2
482,Rachael Miller,motor_emparejamiento_1
482,Don Octavio Mesa,motor_emparejamiento_2
486,George Melton,motor_emparejamiento_1
482,Douglas Cruz,motor_emparejamiento_3
499,Phyllis Stephenson,motor_emparejamiento_3
504,Samantha Sanchez,motor_emparejamiento_1
505,Brandon James,motor_emparejamiento_1
507,Eric Roberts,motor_emparejamiento_2
509,Mason Durham,motor_emparejamiento_1
509,Kathryn Gray,motor_emparejamiento_2
509,Don Octavio Mesa,motor_emparejamiento_3
515,Scott Wilson,motor_emparejamiento_2
527,Don Octavio Mesa,motor_emparejamiento_1
527,April Smith,motor_emparejamiento_2
529,Douglas Sims,motor_emparejamiento_1
527,Joseph Robinson,motor_emparejamiento_3
537,Christopher Murphy,motor_emparejamiento_2
549,Amber Strickland,motor_emparejamiento_3
550,Clarence Vasquez DVM,motor_emparejamiento_3
557,Linda Frank,motor_emparejamiento_2
560,Matthew Velazquez,motor_emparejamiento_1
563,Brittany Arnold,motor_emparejamiento_1
563,Don Octavio Mesa,motor_emparejamiento_2
563,Whitney Johnson,motor_emparejamiento_3
571,Jennifer Lee,motor_emparejamiento_2
573,Don Octavio Mesa,motor_emparejamiento_1
573,Gary Ferguson,motor_emparejamiento_2
